,OBJECTID,IDPOINT,NCN,NCE,Hnorm,Z,DS,DM,geometry,index_right,OBJECTID_1,NG,EG,g,H,B,L,geometry_right
1,32388,32436,381500.0,308300.0,121.35349509537264,1.908768704522993,32093.4052141704,1908.7687045229934,POINT (308300.00000000093 381500.00000000186),138,1264,381178.86174,308363.801961,981181.5279335427,113.59628418068496,51.26502743521211,16.252226998027044,POINT (308363.80196099915 381178.8617400024)
2,32389,32437,381500.0,309300.0,128.4007999696251,1.911026344046224,32096.678767127054,1911.026344046224,POINT (309300.00000000093 381500.00000000186),138,1264,381178.86174,308363.801961,981181.5279335427,113.59628418068496,51.26502743521211,16.252226998027044,POINT (308363.80196099915 381178.8617400024)
2,32389,32437,381500.0,309300.0,128.4007999696251,1.911026344046224,32096.678767127054,1911.026344046224,POINT (309300.00000000093 381500.00000000186),140,1276,381751.923904,310045.879781,981184.4895252337,105.95734749964868,51.27073948507809,16.276011478450904,POINT (310045.8797810003 381751.9239040017)
3,32390,32438,381500.0,310300.0,105.80705206940911,1.913283131593984,32099.90611142357,1913.2831315939845,POINT (310300.00000000093 381500.00000000186),140,1276,381751.923904,310045.879781,981184.4895252337,105.95734749964868,51.27073948507809,16.276011478450904,POINT (310045.8797810003 381751.9239040017)
5,32392,32440,381500.0,312300.0,102.0,1.917265866369262,32102.835073406943,1917.265866369262,POINT (312300.00000000093 381500.00000000186),1,469,381181.639726,312362.247949,981186.2075265297,114.10344033484216,51.26638332317874,16.309488664857362,POINT (312362.24794900045 381181.63972600363)
6,32393,32441,381500.0,313300.0,112.18703109804301,1.918707273901302,32100.713137289786,1918.707273901302,POINT (313300.00000000093 381500.00000000186),1,469,381181.639726,312362.247949,981186.2075265297,114.10344033484216,51.26638332317874,16.309488664857362,POINT (312362.24794900045 381181.63972600363)
6,32393,32441,381500.0,313300.0,112.18703109804301,1.918707273901302,32100.713137289786,1918.707273901302,POINT (313300.00000000093 381500.00000000186),115,1089,382002.811845,313371.874603,981188.3785796205,101.14126238008149,51.27409316342094,16.323519673009212,POINT (313371.87460299954 382002.81184500456)
10,32397,32445,381500.0,317300.0,96.09647396529544,1.924469917861096,32091.825495486857,1924.4699178610956,POINT (317300.00000000186 381500.00000000186),123,1147,382420.021234,317349.166405,981192.1146363498,97.92045116296225,51.279131373055115,16.380280993146503,POINT (317349.1664050007 382420.0212340001)
10,32397,32445,381500.0,317300.0,96.09647396529544,1.924469917861096,32091.825495486857,1924.4699178610956,POINT (317300.00000000186 381500.00000000186),125,1149,382281.925623,317670.11890000006,981192.247142658,97.0,51.277993387972195,16.384949692092135,POINT (317670.11890000105 382281.92562299967)
11,32398,32446,381500.0,318300.0,96.80268535158393,1.925909887338638,32089.505606314106,1925.909887338638,POINT (318300.00000000186 381500.00000000186),118,1142,381925.343107,318478.864041,981192.1889202993,97.0,51.27504769656721,16.396717385673032,POINT (318478.8640409997 381925.343107)
11,32398,32446,381500.0,318300.0,96.80268535158393,1.925909887338638,32089.505606314106,1925.909887338638,POINT (318300.00000000186 381500.00000000186),146,3237,382063.644709,319115.452687,981192.3702179606,96.73261397431305,51.27649295677232,16.405766918414894,POINT (319115.45268700086 382063.64470900036)
12,32399,32447,381500.0,319300.0,99.80062864151114,1.926798732468888,32083.8577630943,1926.7987324688875,POINT (319300.00000000186 381500.00000000186),118,1142,381925.343107,318478.864041,981192.1889202993,97.0,51.27504769656721,16.396717385673032,POINT (318478.8640409997 381925.343107)
12,32399,32447,381500.0,319300.0,99.80062864151114,1.926798732468888,32083.8577630943,1926.7987324688875,POINT (319300.00000000186 381500.00000000186),126,1150,381514.945502,319329.842327,981192.603021045,98.81472237926677,51.27163063728307,16.409115804535972,POINT (319329.8423270006 381514.9455020018)
12,32399,32447,381500.0,319300.0,99.80062864151114,1.926798732468888,32083.8577630943,1926.7987324688875,POINT (319300.00000000186 381500.00000000186),146,3237,382063.644709,319115.452687,981192.3702179606,96.73261397431305,51.27649295677232,16.405766918414894,POINT (319115.45268700086 382063.64470900036)
13,32400,32448,381500.0,320300.0,94.8374370604163,1.927414315634978,32076.543869791352,1927.4143156349783,POINT (320300.00000000186 381500.00000000186),122,1146,381499.801642,321187.194877,981192.0921590666,104.94004456585937,51.27208068566171,16.4357298117941,POINT (321187.19487699866 381499.8016420007)
